Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Raised during),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Initial Foundation EA metamodel,BACM-9,10308,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:22 AM,09/21/17 11:31 PM,01/20/18 6:27 AM,09/21/17 11:31 PM,Foundations - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of foundations package for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000cn:,,,,,,,
Initial Alignment EA metamodel for review,BACM-8,10307,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/19/17 11:21 AM,09/21/17 11:36 PM,01/20/18 6:27 AM,09/21/17 11:36 PM,Alignment - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of cross model alignment for review.,,jrhyne,,,28800,14400,,0%,28800,14400,,,,,08/04/17 6:19 PM;jrhyne;Alignment.png;https://baguildmmteam.atlassian.net/secure/attachment/10100/Alignment.png,,,,,{},,,,,,0|i000cf:,,,,,2017-08-04 23:19:03.311,"08/04/17 6:19 PM;jrhyne;8/4/17
An initial metamodel package ""Alignment"" has been created in the Guild_BAMM EA model.
A diagram in this package shows the ""Assembler"" and Proxy"" classes and their relationships.
A GIF of the diagram is in the Guild team file store, along with a document produced by the BA/BPM alignment team showing an example of using these kinds of classes to align a capability map with BPMN process diagrams.",
Initial EA metamodel for Information,BACM-7,10306,,Task,In Progress,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,jrhyne,jeffw5,jrhyne,07/19/17 11:18 AM,08/11/17 4:09 PM,01/20/18 6:27 AM,,Information - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of Information for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000c7:,,,,,2017-08-09 17:01:41.957,08/09/17 12:01 PM;jrhyne;Initial Information package implemented in GuildBAMM EA model. ,"08/11/17 4:09 PM;jrhyne;I updated the submission document to add a section on Information and add content from the GuildBAMM EA model.
I also made changes to the Foundations section to specialize Business Object. The addition of a relationship class for business objects was needed by the information model, but it makes better sense to implement this at the business object level where it can be used by other business object subtypes. In addition, I added set and individual specializations for business object and a ""member of"" association to show when an individual is member of a type."
Initial EA draft of Organization metamodel,BACM-6,10305,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:17 AM,09/21/17 11:32 PM,01/20/18 6:27 AM,09/21/17 11:32 PM,Organization - EA,,07/21/17 12:00 AM,0,,,Create an initial metamodel of Organization for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000bz:,,,,,,,
Initial draft of Value Package,BACM-5,10304,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:16 AM,09/21/17 11:41 PM,01/20/18 6:27 AM,09/21/17 11:41 PM,Value - EA,,07/21/17 12:00 AM,0,,,Create an initial EA model for Value for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000br:,,,,,,,
Choose an Organization metamodel,BACM-4,10303,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jeffw5,jrhyne,07/18/17 3:51 PM,07/28/17 5:20 AM,01/20/18 6:27 AM,,Organization - EA,,07/21/17 12:00 AM,0,,,BACM-3 split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.,,jeffw5,jrhyne,,1800,1800,,0%,1800,1800,,,,,,,,,,{},,,,,,0|i000bj:,,,,,,07/28/17 5:08 AM;jeffw5; BACM-3 IN REVIEW  split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.,"07/28/17 5:20 AM;jeffw5;sending over to Slack


 BACM-3 IN REVIEW  split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.
"
Reconcile confusing overloads in Organization package,BACM-3,10302,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/18/17 3:12 PM,09/21/17 11:42 PM,01/20/18 6:27 AM,09/21/17 11:42 PM,Organization - EA,,07/21/17 12:00 AM,0,,,"The classes in the Organization package have ambiguous semantics because variants of Organization were created using diagrams instead of placing the variants in separate packages. For example, Collaborative Team specialized both Business Social Group and Organization.
See the Guild BAMM model for details.
Organization has been broken into two packages, Organization_1 and Organization_2 that represent two different views on Organization. The task is now done, but the team needs to decide which of the two views is the correct one for the RFP response.",,jeffw5,jrhyne,,7200,7200,,0%,7200,7200,,,,,,,,,,{},,,,,,0|i000bb:,,,,,,"07/21/17 5:37 PM;jeffw5;Need everyone to review the dual package solution that Jim R. proposed for Organization. 

1. Do we keep both ?
2. Do we choose one over the other ?
3. Is there another option we should consider ?","07/28/17 5:05 AM;jeffw5;Per Jim:  
The classes in the Organization package have ambiguous semantics because variants of Organization were created using diagrams instead of placing the variants in separate packages. For example, Collaborative Team specialized both Business Social Group and Organization.
See the Guild BAMM model for details.
Organization has been broken into two packages, Organization_1 and Organization_2 that represent two different views on Organization. The task is now done, but the team needs to decide which of the two views is the correct one for the RFP response."
Business Object and Performer classes,BACM-2,10301,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,jrhyne,jeffw5,jrhyne,07/18/17 2:49 PM,07/18/17 2:52 PM,01/20/18 6:27 AM,,Foundations - EA,,07/21/17 12:00 AM,0,,,"In Foundations, Business Object and Performers are defined as concrete (instantiatable) elements inheriting from Class Element. In the Organization package, a class Business Social Group is defined. Is Performers the same as Business Social Group? If so, which is the preferred label?
See the Guild BAMM EA model for details. ",,jrhyne,,,900,900,,0%,900,900,,,BACM-1,,,,,,,{},,,,,,0|i000b3:,,,,,,,
Initial draft of Capability package,BACM-1,10300,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/18/17 2:29 PM,09/13/17 4:24 PM,01/20/18 6:27 AM,09/13/17 4:24 PM,Capability - EA,,07/21/17 12:00 AM,0,,,Complete for review an initial draft of the Capability package of the Model-EA component.,,jeffw5,jrhyne,Producing capability package;07/18/17 2:39 PM;jrhyne;10800,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,{},,,,,,0|i000av:,,,,,,07/28/17 5:07 AM;jeffw5;Complete for review an initial draft of the Capability package of the Model-EA component.,
Final Review & Approval,BAMM-20,10219,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000an:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-19,10218,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000af:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-18,10217,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000a7:,CORE Sprint 1,,,,,,
Draft Package,BAMM-17,10216,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i0009z:,CORE Sprint 1,,,,,,
Final Review & Approval,BAMM-16,10215,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:15 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009r:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-15,10214,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:15 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009j:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-14,10213,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:14 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009b:,CORE Sprint 1,,,,,,
Draft Package,BAMM-13,10212,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:14 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i00093:,CORE Sprint 1,,,,,,
Final Review & Approval,BAMM-12,10211,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:55 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008v:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-11,10210,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:55 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008n:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-10,10209,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 5:54 AM,01/20/18 6:26 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008f:,CORE Sprint 1,,,,,,
Draft Package,BAMM-9,10208,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 5:54 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i00087:,CORE Sprint 1,,,,,,
Value Mapping Package,BAMM-8,10207,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-4,,Value,To Do,,0|i0007z:,,,,,,,
Organization Mapping Package,BAMM-7,10206,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:53 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-6,,Organization,To Do,,0|i0007r:,,,,,,,
Information Mapping Package,BAMM-6,10205,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:53 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-12,,Information,To Do,,0|i0007j:,,,,,,,
Final Review & Approval,BAMM-5,10204,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:52 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i0007b:,CORE Sprint 1,,,,,,
Obtain Feedback & Iterate,BAMM-4,10203,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:52 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i00073:,CORE Sprint 1,,,,,,
